AAAA,AAAB,AABB,ABBB,BBBB,all,x
0.002133416025301911,0.0,0.0,0.0,0.002133416025301911,0.004266832050603822,0.1320000000000001
0.002164882483218673,0.0,0.0,0.0,0.002164882483218673,0.004329764966437346,0.1330000000000001
0.0021964404986455814,0.0,0.0,0.0,0.0021964404986455814,0.004392880997291163,0.1340000000000001
0.002228086243756449,0.0,0.0,0.0,0.002228086243756449,0.004456172487512898,0.1350000000000001
0.0022598159055737606,0.0,0.0,0.0,0.0022598159055737606,0.004519631811147521,0.1360000000000001
0.00229162568664148,0.0,0.0,0.0,0.00229162568664148,0.00458325137328296,0.1370000000000001
0.002323511805678127,0.0,0.0,0.0,0.002323511805678127,0.004647023611356254,0.1380000000000001
0.0023554704982104895,0.0,0.0,0.0,0.0023554704982104895,0.004710940996420979,0.1390000000000001
0.002387498017188324,0.0,0.0,0.0,0.002387498017188324,0.004774996034376648,0.1400000000000001
0.00241959063358039,0.0,0.0,0.0,0.00241959063358039,0.00483918126716078,0.1410000000000001
0.0024517446369521577,0.0,0.0,0.0,0.0024517446369521577,0.0049034892739043155,0.1420000000000001
0.002483956336025531,0.0,0.0,0.0,0.002483956336025531,0.004967912672051062,0.1430000000000001
0.0025162220592209166,0.0,0.0,0.0,0.0025162220592209166,0.005032444118441833,0.1440000000000001
0.0025485381551819566,0.0,0.0,0.0,0.0025485381551819566,0.005097076310363913,0.1450000000000001
0.0025809009932832687,0.0,0.0,0.0,0.0025809009932832687,0.005161801986566537,0.1460000000000001
0.0026133069641214807,0.0,0.0,0.0,0.0026133069641214807,0.005226613928242961,0.1470000000000001
0.0026457524799899023,0.0,0.0,0.0,0.0026457524799899023,0.005291504959979805,0.1480000000000001
0.002678233975337119,0.0,0.0,0.0,0.002678233975337119,0.005356467950674238,0.1490000000000001
0.002710747907209823,0.0,0.0,0.0,0.002710747907209823,0.005421495814419646,0.1500000000000001
0.0027432907556801723,0.0,0.0,0.0,0.0027432907556801723,0.005486581511360345,0.1510000000000001
0.002775859024257988,0.0,0.0,0.0,0.002775859024257988,0.005551718048515976,0.1520000000000001
0.0028084492402880496,0.0,0.0,0.0,0.0028084492402880496,0.005616898480576099,0.1530000000000001
0.0028410579553328056,0.0,0.0,0.0,0.0028410579553328056,0.005682115910665611,0.1540000000000001
