n,k,all,A,B,AA,AB,BB,AAA,AAB,ABB,BBB,AAAA,AAAB,AABB,ABBB,BBBB,AAAAA,AAAAB,AAABB,AABBB,ABBBB,BBBBB,max_cycle_len
1000,134,874.486,823.172,15.365,22.357,3.833,1.966,1.214,0.683,0.98,0.504,0.094,0.097,0.305,0.397,0.19,0.008,0.016,0.084,0.145,0.185,0.094,63.791
1000,135,873.74,822.62,15.163,22.509,3.793,1.914,1.232,0.683,0.967,0.481,0.097,0.099,0.299,0.396,0.191,0.008,0.016,0.083,0.144,0.179,0.092,64.69
1000,136,873.028,822.09,14.952,22.638,3.753,1.874,1.252,0.688,0.957,0.485,0.1,0.102,0.296,0.389,0.183,0.007,0.017,0.085,0.138,0.173,0.086,65.213
1000,137,872.295,821.502,14.755,22.797,3.735,1.852,1.264,0.679,0.946,0.472,0.102,0.105,0.296,0.39,0.174,0.007,0.018,0.084,0.134,0.17,0.082,66.188
1000,138,871.587,820.991,14.552,22.939,3.702,1.836,1.275,0.683,0.923,0.451,0.103,0.107,0.293,0.384,0.169,0.007,0.018,0.082,0.136,0.162,0.082,67.023
1000,139,870.87,820.479,14.353,23.055,3.656,1.809,1.289,0.685,0.911,0.44,0.103,0.108,0.295,0.377,0.168,0.008,0.018,0.082,0.133,0.153,0.077,67.84
1000,140,870.177,819.957,14.131,23.191,3.639,1.783,1.299,0.68,0.902,0.424,0.104,0.109,0.296,0.372,0.165,0.008,0.017,0.084,0.132,0.152,0.069,68.356
1000,141,869.458,819.395,13.946,23.316,3.625,1.753,1.322,0.68,0.89,0.408,0.108,0.107,0.298,0.358,0.16,0.008,0.017,0.084,0.134,0.147,0.066,69.409
1000,142,868.749,818.845,13.751,23.439,3.597,1.723,1.339,0.68,0.877,0.395,0.11,0.108,0.297,0.352,0.155,0.009,0.017,0.086,0.135,0.146,0.059,70.065
1000,143,868.03,818.249,13.57,23.598,3.564,1.685,1.353,0.683,0.855,0.391,0.114,0.107,0.293,0.349,0.151,0.009,0.017,0.086,0.137,0.145,0.054,70.912
