empirical_min_dist,estimated_true_dist,best_x,min_error,experiment,real_alpha,real_p_aa,real_p_bb,empirical_true_dist
922.0,1426.2801408263106,1.431922467092768,0.002091884682761891,64,0.4,0.4,0.4,1500
100.0,100.44855044327986,0.12467861221239296,0.022246575739244268,65,0.4,0.4,0.4,100
199.0,201.74964882586653,0.28461544680419143,0.02579893545923626,65,0.4,0.4,0.4,200
299.0,291.6906009388745,0.3170625639725351,0.04850781747309274,65,0.4,0.4,0.4,300
399.0,399.8749342363733,0.4267381469797106,0.011430825880745774,65,0.4,0.4,0.4,400
499.0,504.1075402584819,0.5166449828913582,0.015300011973926744,65,0.4,0.4,0.4,500
590.0,615.2113117430372,0.6439364402790615,0.012461129195227943,65,0.4,0.4,0.4,600
675.0,721.1171897293563,0.74152057923598,0.006340259254669392,65,0.4,0.4,0.4,700
748.0,866.2115352593788,0.9018222663261535,0.008149583430968867,65,0.4,0.4,0.4,800
795.0,928.0515200212341,0.9313539173139431,0.003961992849256812,65,0.4,0.4,0.4,900
831.0,1030.9611489762874,1.0378501356902505,0.005136636133155403,65,0.4,0.4,0.4,1000
851.0,1080.9030804390118,1.0828965916612463,0.006112278642419325,65,0.4,0.4,0.4,1100
875.0,1148.5269135456097,1.1361066375553341,0.0025506909363915116,65,0.4,0.4,0.4,1200
897.0,1284.8925118608165,1.2892507837339324,0.002108337016373182,65,0.4,0.4,0.4,1300
920.0,1350.38146774225,1.336014333540234,0.0011161079114915115,65,0.4,0.4,0.4,1400
923.0,1359.0488278363507,1.3377720103263993,0.0011091518879469192,65,0.4,0.4,0.4,1500
100.0,100.63732579580385,0.08768354937942718,0.029022010898786078,66,0.4,0.4,0.4,100
200.0,201.29595657242888,0.23759554160070936,0.02343284436569888,66,0.4,0.4,0.4,200
300.0,302.79970638450646,0.32027244927453147,0.031432908896156485,66,0.4,0.4,0.4,300
398.0,408.8877867663211,0.42882887102846723,0.027649711714952986,66,0.4,0.4,0.4,400
498.0,519.4269247168422,0.5545262077706823,0.036152243566331795,66,0.4,0.4,0.4,500
590.0,609.5856283649174,0.636083611755409,0.014778821790738637,66,0.4,0.4,0.4,600
667.0,735.1983658587524,0.776006767703932,0.015614413960197079,66,0.4,0.4,0.4,700
734.0,844.7935516402827,0.8845644077723691,0.01158638031231722,66,0.4,0.4,0.4,800
774.0,965.069871135548,1.0197982286145082,0.007899403906236729,66,0.4,0.4,0.4,900
817.0,1085.223539235876,1.1409121225159742,0.0067716547012577274,66,0.4,0.4,0.4,1000
859.0,1322.5629474640875,1.4105270748285936,0.007198426724344517,66,0.4,0.4,0.4,1100
880.0,1419.9977597398806,1.5002744535051338,0.005358716888628949,66,0.4,0.4,0.4,1200
902.0,1456.6531452326046,1.5002744535051338,0.006424566240400985,66,0.4,0.4,0.4,1300
912.0,1477.3714065980575,1.5002744535051338,0.004236382432961162,66,0.4,0.4,0.4,1400
928.0,1496.4959555507833,1.5002744535051338,0.004236382432961161,66,0.4,0.4,0.4,1500
100.0,99.43458992659502,0.04935295229356511,0.024823118197947316,67,0.4,0.4,0.4,100
200.0,200.11041294833467,0.15874225204224202,0.04341527370427845,67,0.4,0.4,0.4,200
300.0,297.80166158133636,0.2568703370198712,0.04177478953260925,67,0.4,0.4,0.4,300
400.0,385.3192637862404,0.323637332401987,0.035689866512710305,67,0.4,0.4,0.4,400
500.0,501.8215308869874,0.4775270044580252,0.017415310774633225,67,0.4,0.4,0.4,500
588.0,602.6427866467232,0.5930124841121485,0.02427060241929146,67,0.4,0.4,0.4,600
665.0,700.0305113420278,0.6891238770058097,0.013726742989932175,67,0.4,0.4,0.4,700
724.0,807.6200063389408,0.8088580607082108,0.014691921373866317,67,0.4,0.4,0.4,800
781.0,898.6587672855431,0.8910615619966173,0.009475990109388648,67,0.4,0.4,0.4,900
816.0,981.3456442326882,0.9825355633454036,0.0037379420690004488,67,0.4,0.4,0.4,1000
850.0,1088.474441994347,1.0848231116944533,0.006298732904549742,67,0.4,0.4,0.4,1100
878.0,1191.543696045572,1.1885498732046496,0.0032026239622410958,67,0.4,0.4,0.4,1200
898.0,1354.2272274650627,1.3740359674450946,0.0023644237393964807,67,0.4,0.4,0.4,1300
918.0,1468.4290723975187,1.4912869543093097,0.000449888356357567,67,0.4,0.4,0.4,1400
932.0,1450.0006825409482,1.4365100475567085,0.0025711497629111756,67,0.4,0.4,0.4,1500
100.0,101.19873398903852,0.126504129155217,0.027775305200991217,68,0.4,0.4,0.4,100
198.0,200.3248779670428,0.1811885610189467,0.043208257990760515,68,0.4,0.4,0.4,200
298.0,304.5253888849844,0.2902022378872343,0.03532894509802844,68,0.4,0.4,0.4,300
397.0,395.94430913304535,0.37574595831757013,0.028508092271698895,68,0.4,0.4,0.4,400
497.0,492.47617818444485,0.49471210055482284,0.020550036912940776,68,0.4,0.4,0.4,500
582.0,584.1379294423467,0.5850332812706935,0.017054418287667093,68,0.4,0.4,0.4,600
658.0,671.099381374389,0.655919396692431,0.01113629319614472,68,0.4,0.4,0.4,700
722.0,819.4274092592162,0.8565591431015755,0.011806367059061832,68,0.4,0.4,0.4,800
777.0,886.4450891747529,0.89749987920188,0.0100876965524187,68,0.4,0.4,0.4,900
820.0,969.3582138851547,0.9545802908679757,0.005001599778749671,68,0.4,0.4,0.4,1000
