n,k,all-cycles,1-cycles,2-cycles,3-cycles,4-cycles,5-cycles,max_cycle_len
1000,382,619.35,482.95,77.45,25.33,11.18,6.55,53.72
1000,383,618.38,482.09,77.28,25.34,11.18,6.55,54.01
1000,384,617.38,481.07,77.3,25.34,11.14,6.5,54.41
1000,385,616.41,480.29,77.07,25.3,11.12,6.58,54.53
1000,386,615.41,479.47,76.91,25.29,11.1,6.58,55.33
1000,387,614.45,478.69,76.72,25.29,11.08,6.57,55.86
1000,388,613.45,477.74,76.68,25.28,11.08,6.58,56.79
1000,389,612.46,476.83,76.58,25.25,11.12,6.61,57.65
1000,390,611.47,476.03,76.44,25.31,11.1,6.58,58.54
1000,391,610.52,474.99,76.5,25.38,11.05,6.6,58.85
1000,392,609.52,474.1,76.44,25.41,11.02,6.56,60.08
1000,393,608.55,473.29,76.33,25.34,11.09,6.51,60.67
1000,394,607.57,472.47,76.16,25.33,11.18,6.53,61.33
1000,395,606.57,471.63,76.11,25.2,11.22,6.47,61.83
1000,396,605.59,470.75,76.02,25.23,11.16,6.46,62.46
1000,397,604.6,469.89,75.89,25.27,11.16,6.44,63.16
1000,398,603.6,469.03,75.8,25.24,11.12,6.47,64.56
1000,399,602.62,468.1,75.73,25.27,11.06,6.46,64.99
1000,400,601.63,467.2,75.56,25.34,11.03,6.45,65.4
1000,401,600.64,466.42,75.42,25.23,11.03,6.46,66.44
1000,402,599.65,465.42,75.43,25.2,11.07,6.46,67.38
1000,403,598.69,464.53,75.28,25.21,11.1,6.48,67.79
1000,404,597.7,463.63,75.19,25.2,11.08,6.48,68.24
1000,405,596.72,462.87,75.08,25.11,11.06,6.51,69.02
1000,406,595.72,462.1,75.03,25.02,11.05,6.46,71.07
1000,407,594.72,461.25,74.86,25.15,11.01,6.4,71.85
1000,408,593.81,460.29,74.89,25.12,11.03,6.33,71.89
1000,409,592.83,459.32,74.95,25.09,10.95,6.28,72.0
1000,410,591.87,458.55,74.85,25.04,10.93,6.31,72.68
1000,411,590.88,457.75,74.76,25.01,10.96,6.31,75.0
1000,412,589.88,456.84,74.69,24.98,10.94,6.3,75.74
1000,413,588.91,456.03,74.49,25.02,10.97,6.3,76.07
1000,414,587.94,455.1,74.49,25.03,10.92,6.31,76.87
